id,title,description,image_link,link,google_product_category,brand,price,availability,item_group_id,additional_image_link,sale_price,sale_price_effective_date,condition,age_group,color,gender,material,pattern
177,"ALLURING  TURQUOISE EARRINGS","These elegant earrings studded with turquoise and stones are a beautiful addition to go with your saree or dress. Pair it with our Alluring Peacock Turquoise necklace, or flaunt it solo. ","https://poeticajewels.com/image/catalog/products/Earrings/ER479/645A8095.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=177","Tara","Poetica jewels | Poetry in jewellery",4450.00 INR,in stock,177,"https://poeticajewels.com/image/catalog/products/Earrings/ER479/645A8087.jpg","","",new,,,,,
163,"ALLURING CHOKER WITH INTRICATE FLORAL MOTIFS WITH RUBY RED DROPS","Some know you as subtle and some as bold same is true about this bold choker with subtle intricate floral motifs with ruby red drops. Pair it with your off-shoulder dress for that stunning Diva look for a cocktail party or go traditional to wear with Lehenga. Your Bridal collection looks chic when you pair it with matching earrings.","https://poeticajewels.com/image/catalog/products/Necklaces/NP307/645A8059_2.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=163","Tara","Poetica jewels | Poetry in jewellery",49450.00 INR,in stock,163,"https://poeticajewels.com/image/catalog/products/Necklaces/NP307/645A8069.jpg,https://poeticajewels.com/image/catalog/products/Necklaces/NP307/645A8067.jpg","","",new,,,,,
150,"ALLURING PEACOCK TURQUOISE NECKLACE","This elegant necklace with the intricate design of magnificent Peacocks studded with turquoise and stones is a beautiful addition to go with your saree or dress. The Peacocks symbolise royalty, honor, and majestic beauty. This necklace is reflective of your outer as well as inner beauty. Pair it with our Alluring Turquoise Earrings, or flaunt it solo.","https://poeticajewels.com/image/catalog/products/Necklaces/NP282/645A8074_2.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=150","Tara","Poetica jewels | Poetry in jewellery",24450.00 INR,in stock,150,"https://poeticajewels.com/image/catalog/products/Necklaces/NP282/645A8087.jpg","","",new,,,,,
127,"AMBIYAN DANGLERS IN DUAL TONE","The creamy pearls and glistening Golden beads come together beautifully in dual tone of silver and gold to add charm to your alluring beauty. Complements your pick for a Saree or a dress, when you wear it on any auspicious occasion. ","https://poeticajewels.com/image/catalog/products/Earrings/ER 531 (Ambiyan Danglers in Dual Tone)/645A4503.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=127","Tara","Poetica jewels | Poetry in jewellery",11450.00 INR,in stock,127,"https://poeticajewels.com/image/catalog/products/Earrings/ER 531 (Ambiyan Danglers in Dual Tone)/645A4516.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 531 (Ambiyan Danglers in Dual Tone)/645A4514.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 531 (Ambiyan Danglers in Dual Tone)/645A4511.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 531 (Ambiyan Danglers in Dual Tone)/645A4507.jpg","","",new,,,,,
135,"Ambiyan Necklace with Intricate Centerpiece","This necklace is a piece of art with an intricately designed central flower and Ambiyan in a row, embedded with radiant mulicolour crystals. Ambiyan are associated with prosperity and purity, making it ideal for your glorious Bridal wear and on auspicious occasions.","https://poeticajewels.com/image/catalog/newnacklaces/NP489/645A8170.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=135","Tara","Poetica jewels | Poetry in jewellery",79450.00 INR,in stock,135,"https://poeticajewels.com/image/catalog/newnacklaces/NP489/645A8197.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP489/645A8196.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP489/645A8194.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP489/645A8181.jpg","","",new,,,,,
178,"BEADED PEACOCK EARRINGS WITH RUBY RED FLOWER","The Peacock symbolises prosperity and love. Pair these earrings with our Beaded Peacock necklace with Fish motif, or flaunt it solo. ","https://poeticajewels.com/image/catalog/products/Earrings/ER480/645A7988.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=178","Tara","Poetica jewels | Poetry in jewellery",5450.00 INR,in stock,178,"https://poeticajewels.com/image/catalog/products/Earrings/ER480/645A7983.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER480/645A7968_2.jpg","","",new,,,,,
167,"BEADED PEACOCK NECKLACE WITH FISH MOTIF","As the Peacock symbolises prosperity and love Fish is associated with regeneration and perfect Harmony making it ideal for gifting on Weddings and Baby Showers. The long string of creamy beads makes it easy to wear and versatile to go with your choice of attire. Pair it with our Beaded Peacock with Ruby red flower Earrings, or flaunt it solo.","https://poeticajewels.com/image/catalog/products/Necklaces/NP314/645A7970_2.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=167","Tara","Poetica jewels | Poetry in jewellery",39450.00 INR,in stock,167,"https://poeticajewels.com/image/catalog/products/Necklaces/NP314/645A7989.jpg,https://poeticajewels.com/image/catalog/products/Necklaces/NP314/645A7982.jpg,https://poeticajewels.com/image/catalog/products/Necklaces/NP314/645A7978_2.jpg","","",new,,,,,
189,"BEAT THE BLUES EARRINGS","These brilliant blue enamel earrings with rosy red dangling drops add a royal touch to your look for a cocktail party.","https://poeticajewels.com/image/catalog/products/Earrings/ER530/645A7757.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=189","Tara","Poetica jewels | Poetry in jewellery",12450.00 INR,in stock,189,"https://poeticajewels.com/image/catalog/products/Earrings/ER530/645A7767.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER530/645A7759.jpg","","",new,,,,,
201,"BIG HOOP EARRINGS","Make a bold statement in your circle of friends and colleagues when you wear these Hoop Earrings to your office or a party.","https://poeticajewels.com/image/catalog/products/Earrings/ER030/P1_2.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=201","Jiya","Poetica jewels | Poetry in jewellery",3450.00 INR,in stock,201,"https://poeticajewels.com/image/catalog/products/Earrings/ER030/P1_3.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER030/P1_1.jpg","","",new,,,,,
199,"BLACK SPINEL ZIRCONIUM DANGLERS ","This stone is associated with true love that is putting your ego aside and becoming devoted to one another. A perfect gift for your beloved and ideal for party wear.","https://poeticajewels.com/image/catalog/products/Earrings/ER545/645A4571.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=199","Tara","Poetica jewels | Poetry in jewellery",4950.00 INR,in stock,199,"https://poeticajewels.com/image/catalog/products/Earrings/ER545/645A4578.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER545/645A4576.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER545/645A4574.jpg","","",new,,,,,
130,"BLOOMING FLOWER AND MOON DANGLERS","This Green Onyx Flower blooming with purity and the golden halo of shining moon adds glow to your presence. Perfect for any auspicious occasion as green onyx is associated with positivity and strength.","https://poeticajewels.com/image/catalog/products/Earrings/ER 543 (Blooming Flower and Moon Danglers)/645A4321.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=130","Tara","Poetica jewels | Poetry in jewellery",9450.00 INR,in stock,130,"https://poeticajewels.com/image/catalog/products/Earrings/ER 543 (Blooming Flower and Moon Danglers)/645A4325.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 543 (Blooming Flower and Moon Danglers)/645A4324.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 543 (Blooming Flower and Moon Danglers)/645A4323.jpg","","",new,,,,,
184,"BLOOMING LOTUS AND PEARLS EARRINGS","Show your playful side with these Dual tone flirtatious Blooming Lotus and Pearls Earrings. It would make everyone surrender to your charm.","https://poeticajewels.com/image/catalog/products/Earrings/ER525/645A4461.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=184","Tara","Poetica jewels | Poetry in jewellery",9450.00 INR,in stock,184,"https://poeticajewels.com/image/catalog/products/Earrings/ER525/645A4471.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER525/645A4466.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER525/645A4464.jpg","","",new,,,,,
196,"BLOOMING ROSE EARRINGS","Wherever life plants you, bloom with grace with these blooming Rose earrings. Bonus point is their versatility to pair with your ethnic or modern attire. The detailing of craftsmanship would get everyone admiring your style statement.","https://poeticajewels.com/image/catalog/products/Earrings/ER540/645A4472.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=196","Tara","Poetica jewels | Poetry in jewellery",5950.00 INR,in stock,196,"https://poeticajewels.com/image/catalog/products/Earrings/ER540/645A4487.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER540/645A4480.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER540/645A4477.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER540/645A4476.jpg","","",new,,,,,
124,"BLUE EARRINGS WITH PEARLS","As blue as a clear sky, these blue hoop earrings are adorned with creamy pearls, giving you a look as fresh as a flower in a garden. Perfect for day wear, subtle and elegant, adding to your grace when you pair it with a Saree or a dress.","https://poeticajewels.com/image/catalog/products/Earrings/ER 516 (Blue Earrings with Pearls)/645A4361.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=124","Tara","Poetica jewels | Poetry in jewellery",6950.00 INR,in stock,124,"https://poeticajewels.com/image/catalog/products/Earrings/ER 516 (Blue Earrings with Pearls)/645A4368.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 516 (Blue Earrings with Pearls)/645A4366.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 516 (Blue Earrings with Pearls)/645A4364.jpg","","",new,,,,,
204,"BLUE PLANET EARRINGS","These Drop Earrings studded with Copper Turqouise reflect your love for nature. Let everyone ask you from where you got these.","https://poeticajewels.com/image/catalog/products/Earrings/ER089/P4_1.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=204","Jiya","Poetica jewels | Poetry in jewellery",3950.00 INR,in stock,204,"https://poeticajewels.com/image/catalog/products/Earrings/ER089/645A0131-1125.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER089/645A0128-1125.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER089/645A0130-1125.jpg","","",new,,,,,
192,"CHAND BALI EARRINGS","No love song is complete without lover’s crush on the Chand Bali of his beloved. Make him swoon with your mesmerising beauty with these Chand Bali Earrings on your Sangeet ceremony or a romantic evening.","https://poeticajewels.com/image/catalog/products/Earrings/ER534/645A4380.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=192","Tara","Poetica jewels | Poetry in jewellery",15450.00 INR,in stock,192,"https://poeticajewels.com/image/catalog/products/Earrings/ER534/645A4385.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER534/645A4381.jpg","","",new,,,,,
176,"CHANDA TARA HOOP DANGLERS","Glow like a full moon with these Chanda Hoop Danglers for an evening of romance. Pair it with our Chanda Tara Long necklace, or flaunt it solo.","https://poeticajewels.com/image/catalog/products/Earrings/ER474/645A8133.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=176","Tara","Poetica jewels | Poetry in jewellery",4450.00 INR,in stock,176,"https://poeticajewels.com/image/catalog/products/Earrings/ER474/645A8115_2.jpg","","",new,,,,,
165,"CHANDA TARA LONG NECKLACE","As the moon and the stars complete each other this Chanda Tara necklace is perfect to go with your traditional or modern attire. He would be blown away by your charm and alluring beauty when you combine it with your dress on Karwa Chauth. Pair it with our Chanda Tara Hoop Danglers, or flaunt it solo.","https://poeticajewels.com/image/catalog/products/Necklaces/NP309/645A8114_2.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=165","Tara","Poetica jewels | Poetry in jewellery",24450.00 INR,in stock,165,"https://poeticajewels.com/image/catalog/products/Necklaces/NP309/645A8129.jpg,https://poeticajewels.com/image/catalog/products/Necklaces/NP309/645A8117_2.jpg","","",new,,,,,
145,"Chandrakalash Necklace Set","Shining as bright as the stars in the night sky, be ready to add shimmer to your glamorous dress for a festive look or any auspicious occasion. The finely crafted set of necklace and paired earrings with creamy pearls, green onyx and glass crystals will reflect the  light and add a glow to the glorious you.","https://poeticajewels.com/image/catalog/newnacklaces/NR + ER 546/645A8238.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=145","Tara","Poetica jewels | Poetry in jewellery",44450.00 INR,in stock,145,"https://poeticajewels.com/image/catalog/newnacklaces/NR + ER 546/645A8230.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NR + ER 546/645A8250.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NR + ER 546/645A8245.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NR + ER 546/645A8236.jpg","","",new,,,,,
139,"Choker with glasswork centrpiece","Be ready to be in the centre of limelight of any party or occasion, as this glittering choker with intricate work is bound to put the focus on you.","https://poeticajewels.com/image/catalog/newnacklaces/NP494/645A8205.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=139","Tara","Poetica jewels | Poetry in jewellery",23450.00 INR,in stock,139,"https://poeticajewels.com/image/catalog/newnacklaces/NP494/645A8221.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP494/645A8212.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP494/645A8204.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP494/645A8202.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP494/645A8201.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP494/645A8200.jpg","","",new,,,,,
137,"Choker with Mango Leaf and Kalash Motifs","This delicate choker with interwoven Mango leaf and Kalash motifs symbolizing purity and prosperity would get you through the busy day on any auspicious occasion.","https://poeticajewels.com/image/catalog/newnacklaces/NP492/645A4695.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=137","Tara","Poetica jewels | Poetry in jewellery",18450.00 INR,in stock,137,"https://poeticajewels.com/image/catalog/newnacklaces/NP492/645A4707.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP492/645A4701.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP492/645A4694.jpg","","",new,,,,,
136,"Choker with Multi Colour Flowers and Hoops","This classy neckpiece with beautifully crafted multi colour flowers interwoven with hoops of glorious red crystals and milky pearls is a statement piece to grace on any auspicious occasion.","https://poeticajewels.com/image/catalog/newnacklaces/NP491/645A4676.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=136","Tara","Poetica jewels | Poetry in jewellery",28450.00 INR,in stock,136,"https://poeticajewels.com/image/catalog/newnacklaces/NP491/645A4690.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP491/645A4688.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP491/645A4680.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP491/645A4677.jpg","","",new,,,,,
140,"Choker with Starry Glasswork","Shining as bright as the stars in the night sky, be ready to add shimmer to your glamorous dress for a cocktail party or any auspicious occasion. The finely crafted glasswork with creamy pearls, will reflect the  light and add a glow to the glorious you.","https://poeticajewels.com/image/catalog/newnacklaces/NP495/645A4625.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=140","Tara","Poetica jewels | Poetry in jewellery",29450.00 INR,in stock,140,"https://poeticajewels.com/image/catalog/newnacklaces/NP495/645A4629.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP495/645A4628.jpg,https://poeticajewels.com/image/catalog/newnacklaces/NP495/645A4626.jpg","","",new,,,,,
125,"CRESCENT DANGLERS WITH PEARLS","The creamy pearls and glistening glass beads come together beautifully to add charm to your alluring beauty. Complements your pick for a Saree or a dress, when you wear it on any auspicious occasion. ","https://poeticajewels.com/image/catalog/products/Earrings/ER 518 (Crescent Danglers with Pearls)/645A4539.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=125","Tara","Poetica jewels | Poetry in jewellery",9950.00 INR,in stock,125,"https://poeticajewels.com/image/catalog/products/Earrings/ER 518 (Crescent Danglers with Pearls)/645A4555.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 518 (Crescent Danglers with Pearls)/645A4554.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 518 (Crescent Danglers with Pearls)/645A4545.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 518 (Crescent Danglers with Pearls)/645A4541.jpg","","",new,,,,,
193,"CROWNING GLORY EARRINGS","You are the undisputed crowning beauty who rules his heart. His heart skips a beat when the golden glittery beads of these Crowning Glory Earrings kiss your cheeks. Perfect.","https://poeticajewels.com/image/catalog/products/Earrings/ER536/645A4370.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=193","Tara","Poetica jewels | Poetry in jewellery",12450.00 INR,in stock,193,"https://poeticajewels.com/image/catalog/products/Earrings/ER536/645A4377.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER536/645A4373.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER536/645A4371.jpg","","",new,,,,,
174,"DANCING DUET PEACOCK EARRINGS","With these earrings having duet of Dancing Peacocks  let everyone know that your heart is dancing with joy on your engagement day or your best friend's wedding. Pair it with our Dancing Peacocks in a garden necklace, or flaunt it solo.","https://poeticajewels.com/image/catalog/products/Earrings/ER468/645A8113.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=174","Tara","Poetica jewels | Poetry in jewellery",5950.00 INR,in stock,174,"https://poeticajewels.com/image/catalog/products/Earrings/ER468/645A8097_2.jpg","","",new,,,,,
120,"DANCING PEACOCK EARRINGS","The Peacock symbolises royalty, honour, and majestic beauty. These peacock earrings are reflective of your outer as well as inner beauty. Be ready to accept the compliments coming your way when you enter a party or a get-together with friends and family, wearing these Peacock Earrings.","https://poeticajewels.com/image/catalog/products/Earrings/ER 511 (Peacock Pearl Earrings)/645A4426.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=120","Tara","Poetica jewels | Poetry in jewellery",7950.00 INR,in stock,120,"https://poeticajewels.com/image/catalog/products/Earrings/ER 511 (Peacock Pearl Earrings)/645A4434.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 511 (Peacock Pearl Earrings)/645A4430.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 511 (Peacock Pearl Earrings)/645A4429.jpg,https://poeticajewels.com/image/catalog/products/Earrings/ER 511 (Peacock Pearl Earrings)/645A4427.jpg","","",new,,,,,
155,"DANCING PEACOCK NECKLACE","This elegant necklace with the intricate design of magnificent Peacocks studded with ruby crystals is a beautiful addition to go with your saree or dress. The Peacocks symbolise royalty, honour, and majestic beauty. This necklace is reflective of your outer as well as inner beauty. ","https://poeticajewels.com/image/catalog/products/Necklaces/NP295/645A4803.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=155","Tara","Poetica jewels | Poetry in jewellery",19450.00 INR,in stock,155,"https://poeticajewels.com/image/catalog/products/Necklaces/NP295/645A4807.jpg,https://poeticajewels.com/image/catalog/products/Necklaces/NP295/645A4801.jpg","","",new,,,,,
173,"DANCING PEACOCKS IN A GARDEN FLORAL JHUMKI","Dancing Peacocks in a garden of Ruby red roses, need you say more to let everyone know that your heart is dancing with joy on your engagement day or your best friend's wedding. Pair it with ourDancing Peacocks in a garden necklace, or flaunt it solo.","https://poeticajewels.com/image/catalog/products/Earrings/ER467/645A8027.jpg","https://poeticajewels.com/index.php?route=product/product&product_id=173","Tara","Poetica jewels | Poetry in jewellery",5950.00 INR,in stock,173,"https://poeticajewels.com/image/catalog/products/Earrings/ER467/645A8015_2.jpg","","",new,,,,,
